id,name,type,original_name,name_match
600808,Drake,Person,Drake,1.0
706819,Ed Sheeran,Person,Ed Sheeran,1.0
823336,Ariana Grande,Person,Ariana Grande,1.0
1492430,Bad Bunny,Person,Bad Bunny,1.0
796889,The Weeknd,Person,The Weeknd,1.0
1258907,Post Malone,Person,Post Malone,1.0
634509,Justin Bieber,Person,Justin Bieber,1.0
946,Eminem,Person,Eminem,1.0
399541,Taylor Swift,Person,Taylor Swift,1.0
803820,J Balvin,Person,J Balvin,1.0
1025840,BTS,Group,BTS,1.0
127482,Kanye West,Person,Kanye West,1.0
1361541,Billie Eilish,Person,Billie Eilish,1.0
1048120,Ozuna,Person,Ozuna,1.0
1445809,Khalid,Person,Khalid,1.0
1379442,XXXTENTACION,Person,XXXTENTACION,1.0
1633635,Juice WRLD,Person,Juice WRLD,1.0
2129,Coldplay,Group,Coldplay,1.0
262731,Rihanna,Person,Rihanna,1.0
894303,Travis Scott,Person,Travis Scott,1.0
870909,Imagine Dragons,Group,Imagine Dragons,1.0
66179,Maroon 5,Group,Maroon 5,1.0
1290968,Dua Lipa,Person,Dua Lipa,1.0
1137257,Shawn Mendes,Person,Shawn Mendes,1.0
204321,Calvin Harris,Person,Calvin Harris,1.0
30471,David Guetta,Person,David Guetta,1.0
119241,Daddy Yankee,Person,Daddy Yankee,1.0
529750,Sam Smith,Person,Sam Smith,1.0
641206,Bruno Mars,Person,Bruno Mars,1.0
1096838,The Chainsmokers,Group,The Chainsmokers,1.0
192,Queen,Group,Queen,1.0
762201,Kendrick Lamar,Person,Kendrick Lamar,1.0
422058,Beyoncé,Person,Beyoncé,1.0
240486,Chris Brown,Person,Chris Brown,1.0
800841,Future,Person,Future,1.0
754656,One Direction,Group,One Direction,1.0
100154,Sia,Person,Sia,1.0
624088,Nicki Minaj,Person,Nicki Minaj,1.0
531923,Lady Gaga,Person,Lady Gaga,1.0
1197096,Halsey,Person,Halsey,1.0
527517,Selena Gomez,Person,Selena Gomez,1.0
650607,J. Cole,Person,J. Cole,1.0
1486832,Anuel AA,Person,Anuel AA,1.0
303,The Beatles,Group,The Beatles,1.0
839065,twenty one pilots,Group,Twenty One Pilots,0.8235294117647058
1053251,Maluma,Person,Maluma,1.0
1084840,Kygo,Person,Kygo,1.0
807928,Marshmello,Person,Marshmello,1.0
610590,Avicii,Person,Avicii,1.0
11330,Linkin Park,Group,Linkin Park,1.0
1241266,Lil Uzi Vert,Person,Lil Uzi Vert,1.0
315753,Katy Perry,Person,Katy Perry,1.0
939035,Camila Cabello,Person,Camila Cabello,1.0
497084,Adele,Person,Adele,1.0
828613,Lana Del Rey,Person,Lana Del Rey,1.0
641496,Jason Derulo,Person,Jason Derulo,1.0
813933,Farruko,Person,Farruko,1.0
527516,Demi Lovato,Person,Demi Lovato,1.0
12389,Red Hot Chili Peppers,Group,Red Hot Chili Peppers,1.0
148108,Nicky Jam,Person,Nicky Jam,1.0
1332,Shakira,Person,Shakira,1.0
255826,Arctic Monkeys,Group,Arctic Monkeys,1.0
997729,Martin Garrix,Person,Martin Garrix,1.0
867864,G‐Eazy,Person,G-Eazy,0.8333333333333334
623730,Major Lazer,Group,Major Lazer,1.0
243617,Panic! at the Disco,Group,Panic! At The Disco,0.8947368421052632
359330,Miley Cyrus,Person,Miley Cyrus,1.0
410667,OneRepublic,Group,OneRepublic,1.0
519,Michael Jackson,Person,Michael Jackson,1.0
137803,Pitbull,Person,Pitbull,1.0
656090,Ellie Goulding,Person,Ellie Goulding,1.0
1342385,Cardi B,Person,Cardi B,1.0
1080570,Charlie Puth,Person,Charlie Puth,1.0
754692,Harry Styles,Person,Harry Styles,1.0
1290934,Sebastián Yatra,Person,Sebastian Yatra,0.9333333333333332
463597,Wiz Khalifa,Person,Wiz Khalifa,1.0
1738027,Rauw Alejandro,Person,Rauw Alejandro,1.0
57186,Lil Wayne,Person,Lil Wayne,1.0
1493482,KAROL G,Person,KAROL G,1.0
1513023,DaBaby,Person,DaBaby,1.0
942935,Logic,Person,Logic,1.0
112461,Fall Out Boy,Group,Fall Out Boy,1.0
1026090,Migos,Group,Migos,1.0
998368,Young Thug,Person,Young Thug,1.0
153653,Diplo,Person,Diplo,1.0
531656,Tyga,Person,Tyga,1.0
1277206,21 Savage,Person,21 Savage,1.0
1313031,Alan Walker,Person,Alan Walker,1.0
33563,John Mayer,Person,John Mayer,1.0
1557563,Sech,Person,Sech,1.0
93,Metallica,Group,Metallica,1.0
1554753,Lil Baby,Person,Lil Baby,1.0
309011,Macklemore,Person,Macklemore,1.0
754693,ZAYN,Person,ZAYN,1.0
9751,P!nk,Person,P!nk,1.0
923140,DJ Snake,Person,DJ Snake,1.0
768034,Zedd,Person,Zedd,1.0
1358998,Lauv,Person,Lauv,1.0
765110,Mac Miller,Person,Mac Miller,1.0
933991,James Arthur,Person,James Arthur,1.0
838181,Little Mix,Group,Little Mix,1.0
1852738,Pop Smoke,Person,Pop Smoke,1.0
1352,AC/DC,Group,AC/DC,1.0
1372423,Lil Peep,Person,Lil Peep,1.0
1669618,Myke Towers,Person,Myke Towers,1.0
1088096,Robin Schulz,Person,Robin Schulz,1.0
981199,5 Seconds of Summer,Group,5 Seconds of Summer,1.0
838288,A$AP Rocky,Person,A$AP Rocky,1.0
1287085,Kodak Black,Person,Kodak Black,1.0
1404376,A Boogie Wit da Hoodie,Person,A Boogie Wit da Hoodie,1.0
1180526,Doja Cat,Person,Doja Cat,1.0
1489322,Trippie Redd,Person,Trippie Redd,1.0
55795,Justin Timberlake,Person,Justin Timberlake,1.0
518244,NF,Person,NF,1.0
825406,Romeo Santos,Person,Romeo Santos,1.0
966690,Metro Boomin,Person,Metro Boomin,1.0
353670,DJ Khaled,Person,DJ Khaled,1.0
871338,Clean Bandit,Group,Clean Bandit,1.0
964089,Zara Larsson,Person,Zara Larsson,1.0
796562,Frank Ocean,Person,Frank Ocean,1.0
510,Green Day,Group,Green Day,1.0
232732,Bob Marley & The Wailers,Group,Bob Marley & The Wailers,1.0
1737262,Anne-Marie,Person,Anne-Marie,1.0
959374,Bebe Rexha,Person,Bebe Rexha,1.0
3113,Enrique Iglesias,Person,Enrique Iglesias,1.0
191988,Tiësto,Person,Tiësto,1.0
1489317,Lewis Capaldi,Person,Lewis Capaldi,1.0
191,Pink Floyd,Group,Pink Floyd,1.0
1318,Luis Miguel,Person,Luis Miguel,1.0
1116073,blackbear,Person,blackbear,1.0
1239664,Gunna,Person,Gunna,1.0
53808,Luis Fonsi,Person,Luis Fonsi,1.0
10910,Black Eyed Peas,Group,Black Eyed Peas,1.0
459158,Flo Rida,Person,Flo Rida,1.0
1258878,Ty Dolla $ign,Person,Ty Dolla $ign,1.0
825,The Rolling Stones,Group,The Rolling Stones,1.0
54,Nirvana,Group,Nirvana,1.0
236,Elton John,Person,Elton John,1.0
77944,Michael Bublé,Person,Michael Bublé,1.0
167,JAY‐Z,Person,JAY-Z,0.8
1480487,YoungBoy Never Broke Again,Person,YoungBoy Never Broke Again,1.0
1798194,Lil Nas X,Person,Lil Nas X,1.0
1317190,Jonas Blue,Person,Jonas Blue,1.0
1396704,BLACKPINK,Group,BLACKPINK,1.0
767971,"Tyler, the Creator",Person,"Tyler, The Creator",0.9444444444444444
1014605,Russ,Person,Russ,1.0
1440,Guns N’ Roses,Group,Guns N' Roses,0.9230769230769232
299,Fleetwood Mac,Group,Fleetwood Mac,1.0
812889,Bastille,Group,Bastille,1.0
791,Britney Spears,Person,Britney Spears,1.0
830986,Machine Gun Kelly,Person,Machine Gun Kelly,1.0
680671,Childish Gambino,Person,Childish Gambino,1.0
450754,Big Sean,Person,Big Sean,1.0
997433,SZA,Person,SZA,1.0
1241665,Alessia Cara,Person,Alessia Cara,1.0
998962,Anitta,Person,Anitta,1.0
248354,Reik,Group,Reik,1.0
1752904,Olivia Rodrigo,Person,Olivia Rodrigo,1.0
638546,Skrillex,Person,Skrillex,1.0
988860,Lorde,Person,Lorde,1.0
11553,Usher,Person,Usher,1.0
1242195,$uicideboy$,Group,$uicideboy$,1.0
956,David Bowie,Person,David Bowie,1.0
541578,Kid Cudi,Person,Kid Cudi,1.0
20544,50 Cent,Person,50 Cent,1.0
22532,Gorillaz,Group,Gorillaz,1.0
1069478,Hozier,Person,Hozier,1.0
757263,French Montana,Person,French Montana,1.0
771929,Camilo,Person,Camilo,1.0
899493,Becky G,Person,Becky G,1.0
898962,Tory Lanez,Person,Tory Lanez,1.0
146720,The Killers,Group,The Killers,1.0
831916,Banda Sinaloense MS de Sergio Lizárraga,Group,Banda MS de Sergio Lizárraga,0.835820895522388
176,Foo Fighters,Group,Foo Fighters,1.0
241,blink‐182,Group,blink-182,0.8888888888888888
111,Mariah Carey,Person,Mariah Carey,1.0
824188,Meek Mill,Person,Meek Mill,1.0
501,Daft Punk,Group,Daft Punk,1.0
197,U2,Group,U2,1.0
176938,John Legend,Person,John Legend,1.0
1140624,Rae Sremmurd,Group,Rae Sremmurd,1.0
1131760,Meghan Trainor,Person,Meghan Trainor,1.0
388,Led Zeppelin,Group,Led Zeppelin,1.0
1603703,6ix9ine,Person,6ix9ine,1.0
866593,Rita Ora,Person,Rita Ora,1.0
255180,Gucci Mane,Person,Gucci Mane,1.0
567175,Mumford & Sons,Group,Mumford & Sons,1.0
923313,The 1975,Group,The 1975,1.0
1385354,Luke Combs,Person,Luke Combs,1.0
1309563,Marília Mendonça,Person,Marília Mendonça,1.0
1674209,Ava Max,Person,Ava Max,1.0
24227,Jack Johnson,Person,Jack Johnson,1.0
1533678,Manuel Turizo,Person,Manuel Turizo,1.0
1744675,Roddy Ricch,Person,Roddy Ricch,1.0
9698,System of a Down,Group,System Of A Down,0.875
66,Radiohead,Group,Radiohead,1.0
1180312,Swae Lee,Person,Swae Lee,1.0
1129211,Hailee Steinfeld,Person,Hailee Steinfeld,1.0
2591,Muse,Group,Muse,1.0
1279618,Bazzi,Person,Bazzi,1.0
12640,The Notorious B.I.G.,Person,The Notorious B.I.G.,1.0
920582,The Neighbourhood,Group,The Neighbourhood,1.0
1539,Elvis Presley,Person,Elvis Presley,1.0
177,Snoop Dogg,Person,Snoop Dogg,1.0
1085292,Jess Glynne,Person,Jess Glynne,1.0
1088095,Felix Jaehn,Person,Felix Jaehn,1.0
101,Frank Sinatra,Person,Frank Sinatra,1.0
1819344,Polo G,Person,Polo G,1.0
1424271,Joji,Person,Joji,1.0
1010888,Julia Michaels,Person,Julia Michaels,1.0
273945,Paramore,Group,Paramore,1.0
1290933,Cheat Codes,Group,Cheat Codes,1.0
939032,Fifth Harmony,Group,Fifth Harmony,1.0
859924,Disclosure,Group,Disclosure,1.0
803566,Troye Sivan,Person,Troye Sivan,1.0
20660,Oasis,Group,Oasis,1.0
1374,Slipknot,Group,Slipknot,1.0
929657,Florida Georgia Line,Group,Florida Georgia Line,1.0
495,Christina Aguilera,Person,Christina Aguilera,1.0
1669383,Jhay Cortez,Person,Jhay Cortez,1.0
905024,Chance the Rapper,Person,Chance the Rapper,1.0
577669,Jorge & Mateus,Group,Jorge & Mateus,1.0
14423,Bon Jovi,Group,Bon Jovi,1.0
120177,Don Omar,Person,Don Omar,1.0
845770,The Lumineers,Group,The Lumineers,1.0
106927,Kings of Leon,Group,Kings of Leon,1.0
571280,Tame Impala,Group,Tame Impala,1.0
1644516,Dalex,Person,Dalex,1.0
511819,Luke Bryan,Person,Luke Bryan,1.0
934240,Tove Lo,Person,Tove Lo,1.0
24018,Alicia Keys,Person,Alicia Keys,1.0
68173,Jason Mraz,Person,Jason Mraz,1.0
541443,The Script,Group,The Script,1.0
1206587,6LACK,Person,6LACK,1.0
1855977,The Kid LAROI,Person,The Kid LAROI,1.0
647066,Glee Cast,Group,Glee Cast,1.0
944543,Melanie Martinez,Person,Melanie Martinez,1.0
516893,Florence + the Machine,Group,Florence + The Machine,0.9545454545454546
1637497,Paulo Londra,Person,Paulo Londra,1.0
889440,Natti Natasha,Person,Natti Natasha,1.0
1519546,Lil Pump,Person,Lil Pump,1.0
1167535,Justin Quiles,Person,Justin Quiles,1.0
1022373,Galantis,Group,Galantis,1.0
1638056,Megan thee Stallion,Person,Megan Thee Stallion,0.9473684210526316
452777,Five Finger Death Punch,Group,Five Finger Death Punch,1.0
813,Bruce Springsteen,Person,Bruce Springsteen,1.0
12068,Nickelback,Group,Nickelback,1.0
1101110,Kehlani,Person,Kehlani,1.0
1918,Creedence Clearwater Revival,Group,Creedence Clearwater Revival,1.0
805610,Alesso,Person,Alesso,1.0
304981,Ne‐Yo,Person,Ne-Yo,0.8
89,Madonna,Person,Madonna,1.0
1467864,Christian Nodal,Person,Christian Nodal,1.0
163,2Pac,Person,2Pac,1.0
1425714,Piso 21,Group,Piso 21,1.0
754690,Niall Horan,Person,Niall Horan,1.0
1269383,Bryson Tiller,Person,Bryson Tiller,1.0
979,Whitney Houston,Person,Whitney Houston,1.0
1621012,Capital Bra,Person,Capital Bra,1.0
1297224,Kane Brown,Person,Kane Brown,1.0
1254571,Playboi Carti,Person,Playboi Carti,1.0
34,Rammstein,Group,Rammstein,1.0
1318006,Zé Neto & Cristiano,Group,Zé Neto & Cristiano,1.0
910,ABBA,Group,ABBA,1.0
804367,Gusttavo Lima,Person,Gusttavo Lima,1.0
1409564,NAV,Person,NAV,1.0
734972,Labrinth,Person,Labrinth,1.0
48734,My Chemical Romance,Group,My Chemical Romance,1.0
599382,YG,Person,YG,1.0
895644,Thomas Rhett,Person,Thomas Rhett,1.0
1030105,Henrique Albino,Person,Henrique & Juliano,0.7878787878787878
1211210,Arcangelo,Group,Arcangel,0.9411764705882352
713629,Alok,Person,Alok,1.0
157343,Zion I,Group,Zion & Lennox,0.5263157894736842
347152,Jonas Brothers,Group,Jonas Brothers,1.0
1137671,James Bay,Person,James Bay,1.0
1503351,Morat,Group,Morat,1.0
244,Disturbed,Group,Disturbed,1.0
1079251,Lenny Tavárez,Person,Lenny Tavárez,1.0
998861,Vance Joy,Person,Vance Joy,1.0
585303,Kevin Gates,Person,Kevin Gates,1.0
856625,Ryan Lewis,Person,Ryan Lewis,1.0
835335,Flume,Person,Flume,1.0
74202,Kelly Clarkson,Person,Kelly Clarkson,1.0
157386,Wisin,Person,Wisin,1.0
514,Jennifer Lopez,Person,Jennifer Lopez,1.0
47218,Avril Lavigne,Person,Avril Lavigne,1.0
1598431,Lil Skies,Person,Lil Skies,1.0
481,Aerosmith,Group,Aerosmith,1.0
281667,Bring Me the Horizon,Group,Bring Me The Horizon,0.95
29,Stevie Wonder,Person,Stevie Wonder,1.0
124098,Amy Winehouse,Person,Amy Winehouse,1.0
797262,Miguel,Person,Miguel,1.0
202,Hans Zimmer,Person,Hans Zimmer,1.0
1697501,YNW Melly,Person,YNW Melly,1.0
38536,Alejandro Fernández,Person,Alejandro Fernández,1.0
1834232,Tones and I,Person,Tones And I,0.9090909090909092
1195773,Fetty Wap,Person,Fetty Wap,1.0
39229,Sean Paul,Person,Sean Paul,1.0
486,Backstreet Boys,Group,Backstreet Boys,1.0
1285561,TWICE,Group,TWICE,1.0
554751,Kesha,Person,Kesha,1.0
1319,Maná,Group,Maná,1.0
1401175,Morgan Wallen,Person,Morgan Wallen,1.0
624860,Jeremih,Person,Jeremih,1.0
143296,Yandel,Person,Yandel,1.0
373,Dr. Dre,Person,Dr. Dre,1.0
157342,Wisin & Yandel,Group,Wisin & Yandel,1.0
104857,Three Days Grace,Group,Three Days Grace,1.0
498835,Steve Aoki,Person,Steve Aoki,1.0
262693,Jason Aldean,Person,Jason Aldean,1.0
1511392,Why Don’t We,Group,Why Don't We,0.9166666666666666
1343626,Seeb,Group,Seeb,1.0
1016421,George Ezra,Person,George Ezra,1.0
1055125,Dan + Shay,Group,Dan + Shay,1.0
138,Billy Joel,Person,Billy Joel,1.0
769821,Prince Royce,Person,Prince Royce,1.0
151,Phil Collins,Person,Phil Collins,1.0
190,Pearl Jam,Group,Pearl Jam,1.0
163726,Akon,Person,Akon,1.0
217006,Trey Songz,Person,Trey Songz,1.0
11386,Eagles,Group,Eagles,1.0
387,Johnny Cash,Person,Johnny Cash,1.0
754645,Jessie J,Person,Jessie J,1.0
1839407,Lil Tecca,Person,Lil Tecca,1.0
1726000,Lil Mosey,Person,Lil Mosey,1.0
1161927,Wesley Safadão,Person,Wesley Safadão,1.0
629401,benny blanco,Person,benny blanco,1.0
972540,Passenger,Person,Passenger,1.0
650387,Lin‐Manuel Miranda,Person,Lin-Manuel Miranda,0.9444444444444444
881185,Lukas Graham,Group,Lukas Graham,1.0
1364856,CNCO,Group,CNCO,1.0
71902,Avenged Sevenfold,Group,Avenged Sevenfold,1.0
368,The Offspring,Group,The Offspring,1.0
1560062,Nio García,Person,Nio Garcia,0.9
1277539,Matheus Mota,Person,Matheus & Kauan,0.6666666666666666
112605,Mark Ronson,Person,Mark Ronson,1.0
30696,The Strokes,Group,The Strokes,1.0
1122478,Lizzo,Person,Lizzo,1.0
843338,2 Chainz,Person,2 Chainz,1.0
139,Céline Dion,Person,Céline Dion,1.0
1819690,Lil Tjay,Person,Lil Tjay,1.0
330,Ricky Martin,Person,Ricky Martin,1.0
727869,Foster the People,Group,Foster The People,0.9411764705882352
1331,Ricardo Arjona,Person,Ricardo Arjona,1.0
9804,Train,Group,Train,1.0
17,Bob Dylan,Person,Bob Dylan,1.0
786252,ScHoolboy Q,Person,ScHoolboy Q,1.0
799435,Pablo Alborán,Person,Pablo Alborán,1.0
618346,Rudimental,Group,Rudimental,1.0
1083137,Jul,Person,Jul,1.0
1457971,H.E.R.,Person,H.E.R.,1.0
1851042,24kGoldn,Person,24kGoldn,1.0
847007,Pentatonix,Group,Pentatonix,1.0
1684,Marc Anthony,Person,Marc Anthony,1.0
212204,James Blunt,Person,James Blunt,1.0
1104420,Macklemore & Ryan Lewis,Group,Macklemore & Ryan Lewis,1.0
51840,Armin van Buuren,Person,Armin van Buuren,1.0
57111,Aventura,Group,Aventura,1.0
1165290,Daniel Caesar,Person,Daniel Caesar,1.0
1340731,Lil Yachty,Person,Lil Yachty,1.0
10262,Alejandro Sanz,Person,Alejandro Sanz,1.0
470713,Bon Iver,Group,Bon Iver,1.0
1141979,Sam Hunt,Person,Sam Hunt,1.0
754688,Liam Payne,Person,Liam Payne,1.0
233,Dire Straits,Group,Dire Straits,1.0
1063068,Offset,Person,Offset,1.0
1670724,Duki,Person,Duki,1.0
3031,Nelly,Person,Nelly,1.0
857223,Jhené Aiko,Person,Jhené Aiko,1.0
1063065,Quavo,Person,Quavo,1.0
379719,Zac Brown Band,Group,Zac Brown Band,1.0
1351418,BROCKHAMPTON,Group,BROCKHAMPTON,1.0
156,Bryan Adams,Person,Bryan Adams,1.0
161309,Cartel de Santa,Group,Cartel De Santa,0.9333333333333332
1510605,Ski Mask the Slump God,Person,Ski Mask The Slump God,0.9545454545454546
42916,Blake Shelton,Person,Blake Shelton,1.0
1022186,PARTYNEXTDOOR,Person,PARTYNEXTDOOR,1.0
59036,The Black Keys,Group,The Black Keys,1.0
48183,Carlos Vives,Person,Carlos Vives,1.0
677828,Mike Posner,Person,Mike Posner,1.0
1047489,The Vamps,Group,The Vamps,1.0
626805,R3HAB,Person,R3HAB,1.0
1697548,Don Toliver,Person,Don Toliver,1.0
698756,Charli XCX,Person,Charli XCX,1.0
991,Bee Gees,Group,Bee Gees,1.0
1252793,Ninho,Person,Ninho,1.0
1473115,Dean Lewis,Person,Dean Lewis,1.0
822,The Police,Group,The Police,1.0
962,Marvin Gaye,Person,Marvin Gaye,1.0
795784,Birdy,Person,Birdy,1.0
1227339,ILLENIUM,Person,ILLENIUM,1.0
595413,Boyce Avenue,Group,Boyce Avenue,1.0
1179459,Lost Frequencies,Person,Lost Frequencies,1.0
1947,Skillet,Group,Skillet,1.0
1689884,Danny Ocean,Person,Danny Ocean,1.0
10042,Iron Maiden,Group,Iron Maiden,1.0
968752,Lil Durk,Person,Lil Durk,1.0
1460651,Jack Harlow,Person,Jack Harlow,1.0
21916,Tim McGraw,Person,Tim McGraw,1.0
51876,Rise Against,Group,Rise Against,1.0
1317804,Maren Morris,Person,Maren Morris,1.0
94,John Williams,Person,John Williams,1.0
838293,A$AP Ferg,Person,A$AP Ferg,1.0
44318,T.I.,Person,T.I.,1.0
608462,Carly Rae Jepsen,Person,Carly Rae Jepsen,1.0
928797,Bradley Cooper,Person,Bradley Cooper,1.0
48426,Juanes,Person,Juanes,1.0
1757,The Doors,Group,The Doors,1.0
864994,Iggy Azalea,Person,Iggy Azalea,1.0
714072,Glass Animals,Group,Glass Animals,1.0
818141,alt‐J,Group,alt-J,0.8
74910,Bibi Bourelly,Person,Bibi Blocksberg,0.5714285714285714
530516,Cage the Elephant,Group,Cage The Elephant,0.9411764705882352
1130852,Anderson .Paak,Person,Anderson .Paak,1.0
446,Weezer,Group,Weezer,1.0
20861,Soda Stereo,Group,Soda Stereo,1.0
1477650,Alec Benjamin,Person,Alec Benjamin,1.0
1289879,LANY,Group,LANY,1.0
1276260,Mabel,Person,Mabel,1.0
1260481,Sigala,Person,Sigala,1.0
33900,Hillsong Worship,Group,Hillsong Worship,1.0
1658,Journey,Group,Journey,1.0
21415,Kenny Chesney,Person,Kenny Chesney,1.0
366866,Eric Church,Person,Eric Church,1.0
931749,La Arrolladora Banda El Limón de René Camacho,Group,La Arrolladora Banda El Limón De Rene Camacho,0.9555555555555556
960795,Nick Jonas,Person,Nick Jonas,1.0
1526784,Jeremy Zucker,Person,Jeremy Zucker,1.0
1042416,Madison Beer,Person,Madison Beer,1.0
926,The Cure,Group,The Cure,1.0
816695,Calibre 50,Group,Calibre 50,1.0
1441180,SAINt JHN,Person,SAINt JHN,1.0
777891,RAF Camora,Person,RAF Camora,1.0
1519953,Rex Orange County,Person,Rex Orange County,1.0
1432528,Noah Cyrus,Person,Noah Cyrus,1.0
1574933,Mau y Ricky,Group,Mau y Ricky,1.0
1092430,MAGIC!,Group,MAGIC!,1.0
624480,The xx,Group,The xx,1.0
868677,Arijit Singh,Person,Arijit Singh,1.0
40269,Norah Jones,Person,Norah Jones,1.0
1801149,Lunay,Person,Lunay,1.0
1388488,ROSALÍA,Person,ROSALÍA,1.0
1167607,Sam Feldt,Person,Sam Feldt,1.0
468,Destiny’s Child,Group,Destiny's Child,0.9333333333333332
913502,JP Cooper,Person,JP Cooper,1.0
1018410,Jon Bellion,Person,Jon Bellion,1.0
883129,EXO,Group,EXO,1.0
11632,Juan Gabriel,Person,Juan Gabriel,1.0
938,Eric Clapton,Person,Eric Clapton,1.0
1823598,iann dior,Person,iann dior,1.0
898706,Kid Ink,Person,Kid Ink,1.0
939037,Normani,Person,Normani,1.0
2122,Paul McCartney,Person,Paul McCartney,1.0
1007140,X Ambassadors,Group,X Ambassadors,1.0
1031390,Rich the Kid,Person,Rich The Kid,0.9166666666666666
497122,Jesse Cook,Person,Jesse & Joy,0.6666666666666666
1112124,Dimitri Vegas & Like Mike,Group,Dimitri Vegas & Like Mike,1.0
129,Simon & Garfunkel,Group,Simon & Garfunkel,1.0
1404279,Aminé,Person,Aminé,1.0
951571,Chris Stapleton,Person,Chris Stapleton,1.0
317,Depeche Mode,Group,Depeche Mode,1.0
1122395,Ufo361,Person,Ufo361,1.0
364930,Grey,Person,Grey,1.0
1208783,PNL,Group,PNL,1.0
1591692,Conan Gray,Person,Conan Gray,1.0
525,Outkastz,Group,Outkast,0.9333333333333332
51856,Breaking Benjamin,Group,Breaking Benjamin,1.0
1229749,Matoma,Person,Matoma,1.0
352,Korn,Group,Korn,1.0
331473,Hillsong UNITED,Group,Hillsong UNITED,1.0
1801430,NLE Choppa,Person,NLE Choppa,1.0
975013,Becky Hill,Person,Becky Hill,1.0
1099337,Jax Jones,Person,Jax Jones,1.0
203152,The Game,Person,The Game,1.0
1135,The Beach Boys,Group,The Beach Boys,1.0
1311809,Maiara & Maraisa,Group,Maiara & Maraisa,1.0
745888,AJR,Group,AJR,1.0
277964,Volbeat,Group,Volbeat,1.0
184,Jimi Hendrix,Person,Jimi Hendrix,1.0
400,Papa Roach,Group,Papa Roach,1.0
1010609,Sabrina Carpenter,Person,Sabrina Carpenter,1.0
353667,Rick Ross,Person,Rick Ross,1.0
10302,R.E.M.,Group,R.E.M.,1.0
2103723,Os Barões da Pisadinha,Group,Os Barões Da Pisadinha,0.9545454545454546
1276156,DNCE,Group,DNCE,1.0
1243587,Bonez MC,Person,Bonez MC,1.0
596411,B.o.B,Person,B.o.B,1.0
729961,Christina Perri,Person,Christina Perri,1.0
1456211,KYLE,Person,KYLE,1.0
260777,The Fray,Group,The Fray,1.0
1975382,Imanbek,Person,Imanbek,1.0
771509,Years & Years,Group,Years & Years,1.0
327907,Juan Magán,Person,Juan Magán,1.0
142,George Michael,Person,George Michael,1.0
596594,MARINA,Person,MARINA,1.0
1696271,Summer Walker,Person,Summer Walker,1.0
1341448,Calum Scott,Person,Calum Scott,1.0
2935,Robbie Williams,Person,Robbie Williams,1.0
34802,Ludovico Einaudi,Person,Ludovico Einaudi,1.0
